	clust	group
W379163	28	mTEC-II
W379164	24	mTEC-III
W379171	25	mTEC-II
W379172	5	cTEC
W379175	28	mTEC-II
W379183	26	mTEC-II
W379185	21	mTEC-I
W379190	2	mTEC-IV
W379191	34	mTEC-II
W379194	8	mTEC-I
W379195	22	mTEC-III
W379197	17	mTEC-I
W379203	21	mTEC-I
W379207	13	mTEC-I
W379211	29	mTEC-II
W379212	8	mTEC-I
W379214	17	mTEC-I
W378835	13	mTEC-I
W378839	34	mTEC-II
W378842	2	mTEC-IV
W378844	10	mTEC-I
W378845	8	mTEC-I
W378847	33	mTEC-III
W378849	35	mTEC-II
W378850	8	mTEC-I
W378852	18	mTEC-I
W378856	18	mTEC-I
W378857	15	mTEC-I
W378858	14	mTEC-I
W378859	35	mTEC-II
W378861	32	mTEC-III
W378862	26	mTEC-II
W378864	21	mTEC-I
W378865	19	mTEC-I
W378866	24	mTEC-III
W378870	28	mTEC-II
W378873	24	mTEC-III
W378875	25	mTEC-II
W378877	15	mTEC-I
W378880	3	mTEC-IV
W378881	33	mTEC-III
W378882	14	mTEC-I
W378884	29	mTEC-II
W378885	9	mTEC-I
W378886	22	mTEC-III
W378887	26	mTEC-II
W378888	34	mTEC-II
W378889	10	mTEC-I
W378890	14	mTEC-I
W378892	23	mTEC-III
W378895	18	mTEC-I
W378896	17	mTEC-I
W378898	3	mTEC-IV
W378901	35	mTEC-II
W378905	30	mTEC-II
W378906	26	mTEC-II
W378909	29	mTEC-II
W378911	7	mTEC-I
W378912	35	mTEC-II
W378913	17	mTEC-I
W378914	21	mTEC-I
W378915	24	mTEC-III
W378916	13	mTEC-I
W378917	29	mTEC-II
W378919	17	mTEC-I
W378920	30	mTEC-II
W378921	12	mTEC-I
W378925	7	mTEC-I
W378926	6	mTEC-I
W378930	19	mTEC-I
W378934	3	mTEC-IV
W378935	15	mTEC-I
W378937	14	mTEC-I
W378941	9	mTEC-I
W378942	3	mTEC-IV
W378946	5	cTEC
W378947	29	mTEC-II
W378949	35	mTEC-II
W378950	35	mTEC-II
W378951	17	mTEC-I
W378953	13	mTEC-I
W378954	18	mTEC-I
W378957	13	mTEC-I
W378958	3	mTEC-IV
W378959	19	mTEC-I
W378962	29	mTEC-II
W378965	14	mTEC-I
W378969	24	mTEC-III
W378974	18	mTEC-I
W378975	20	mTEC-I
W378981	14	mTEC-I
W378982	13	mTEC-I
W378983	25	mTEC-II
W378985	26	mTEC-II
W378986	8	mTEC-I
W378987	20	mTEC-I
W378988	29	mTEC-II
W378991	13	mTEC-I
W378998	17	mTEC-I
W378999	6	mTEC-I
W379001	1	mTEC-IV
W379002	35	mTEC-II
W379004	3	mTEC-IV
W379007	35	mTEC-II
W379012	32	mTEC-III
W379013	29	mTEC-II
W379021	28	mTEC-II
W379023	12	mTEC-I
W378641	1	mTEC-IV
W378644	12	mTEC-I
W378645	22	mTEC-III
W378646	20	mTEC-I
W378649	28	mTEC-II
W378650	18	mTEC-I
W378651	18	mTEC-I
W378653	1	mTEC-IV
W378654	8	mTEC-I
W378656	17	mTEC-I
W378659	21	mTEC-I
W378660	24	mTEC-III
W378663	32	mTEC-III
W378664	21	mTEC-I
W378668	1	mTEC-IV
W378669	20	mTEC-I
W378670	15	mTEC-I
W378675	14	mTEC-I
W378677	24	mTEC-III
W378678	14	mTEC-I
W378679	15	mTEC-I
W378681	12	mTEC-I
W378683	21	mTEC-I
W378685	31	mTEC-II
W378690	34	mTEC-II
W378695	34	mTEC-II
W378696	1	mTEC-IV
W378699	21	mTEC-I
W378700	9	mTEC-I
W378701	16	mTEC-I
W378703	8	mTEC-I
W378704	29	mTEC-II
W378705	18	mTEC-I
W378708	26	mTEC-II
W378709	32	mTEC-III
W378711	8	mTEC-I
W378712	1	mTEC-IV
W378713	24	mTEC-III
W378718	21	mTEC-I
W378719	21	mTEC-I
W378721	2	mTEC-IV
W378723	21	mTEC-I
W378725	24	mTEC-III
W378726	15	mTEC-I
W378729	2	mTEC-IV
W378730	34	mTEC-II
W378731	18	mTEC-I
W378733	1	mTEC-IV
W378734	32	mTEC-III
W378735	32	mTEC-III
W378739	30	mTEC-II
W378740	2	mTEC-IV
W378741	14	mTEC-I
W378745	35	mTEC-II
W378746	30	mTEC-II
W378747	22	mTEC-III
W378749	20	mTEC-I
W378750	19	mTEC-I
W378751	25	mTEC-II
W378756	29	mTEC-II
W378758	34	mTEC-II
W378760	19	mTEC-I
W378764	27	mTEC-II
W378765	8	mTEC-I
W378769	9	mTEC-I
W378770	8	mTEC-I
W378772	30	mTEC-II
W378773	1	mTEC-IV
W378777	26	mTEC-II
W378779	32	mTEC-III
W378784	18	mTEC-I
W378785	12	mTEC-I
W378787	17	mTEC-I
W378788	25	mTEC-II
W378789	17	mTEC-I
W378791	17	mTEC-I
W378792	22	mTEC-III
W378793	28	mTEC-II
W378794	30	mTEC-II
W378795	35	mTEC-II
W378796	3	mTEC-IV
W378797	24	mTEC-III
W378801	17	mTEC-I
W378802	26	mTEC-II
W378803	21	mTEC-I
W378806	1	mTEC-IV
W378807	13	mTEC-I
W378808	14	mTEC-I
W378809	20	mTEC-I
W378815	27	mTEC-II
W378817	3	mTEC-IV
W378819	8	mTEC-I
W378823	13	mTEC-I
W378824	8	mTEC-I
W378825	25	mTEC-II
W378827	2	mTEC-IV
W378828	26	mTEC-II
W378830	34	mTEC-II
W378831	21	mTEC-I
W378450	29	mTEC-II
W378453	20	mTEC-I
W378454	7	mTEC-I
W378458	33	mTEC-III
W378459	21	mTEC-I
W378460	3	mTEC-IV
W378461	8	mTEC-I
W378463	26	mTEC-II
W378464	12	mTEC-I
W378467	3	mTEC-IV
W378469	29	mTEC-II
W378471	20	mTEC-I
W378475	11	mTEC-I
W378477	30	mTEC-II
W378478	32	mTEC-III
W378482	26	mTEC-II
W378484	15	mTEC-I
W378487	21	mTEC-I
W378489	29	mTEC-II
W378490	28	mTEC-II
W378491	35	mTEC-II
W378495	22	mTEC-III
W378498	26	mTEC-II
W378499	8	mTEC-I
W378503	11	mTEC-I
W378504	13	mTEC-I
W378505	12	mTEC-I
W378506	12	mTEC-I
W378507	17	mTEC-I
W378510	21	mTEC-I
W378511	21	mTEC-I
W378514	35	mTEC-II
W378516	34	mTEC-II
W378520	29	mTEC-II
W378521	30	mTEC-II
W378523	10	mTEC-I
W378526	28	mTEC-II
W378527	21	mTEC-I
W378528	26	mTEC-II
W378530	8	mTEC-I
W378531	33	mTEC-III
W378532	9	mTEC-I
W378536	19	mTEC-I
W378537	25	mTEC-II
W378540	8	mTEC-I
W378541	29	mTEC-II
W378544	4	cTEC
W378547	2	mTEC-IV
W378548	17	mTEC-I
W378550	22	mTEC-III
W378555	17	mTEC-I
W378559	29	mTEC-II
W378560	3	mTEC-IV
W378563	30	mTEC-II
W378564	17	mTEC-I
W378565	35	mTEC-II
W378566	35	mTEC-II
W378571	8	mTEC-I
W378574	13	mTEC-I
W378575	3	mTEC-IV
W378577	12	mTEC-I
W378578	18	mTEC-I
W378579	28	mTEC-II
W378580	30	mTEC-II
W378582	19	mTEC-I
W378583	3	mTEC-IV
W378584	21	mTEC-I
W378586	13	mTEC-I
W378587	29	mTEC-II
W378589	18	mTEC-I
W378590	30	mTEC-II
W378591	26	mTEC-II
W378593	26	mTEC-II
W378599	1	mTEC-IV
W378601	19	mTEC-I
W378602	30	mTEC-II
W378603	15	mTEC-I
W378604	30	mTEC-II
W378606	12	mTEC-I
W378608	7	mTEC-I
W378609	29	mTEC-II
W378612	1	mTEC-IV
W378613	21	mTEC-I
W378617	18	mTEC-I
W378618	35	mTEC-II
W378620	19	mTEC-I
W378621	29	mTEC-II
W378622	24	mTEC-III
W378623	1	mTEC-IV
W378624	15	mTEC-I
W378625	13	mTEC-I
W378626	3	mTEC-IV
W378627	3	mTEC-IV
W378628	30	mTEC-II
W378629	34	mTEC-II
W378630	23	mTEC-III
W378632	28	mTEC-II
W378633	7	mTEC-I
W378635	17	mTEC-I
W378636	2	mTEC-IV
W378637	13	mTEC-I
W378638	1	mTEC-IV
W341013	31	mTEC-II
W341018	13	mTEC-I
W341019	29	mTEC-II
W341023	25	mTEC-II
W341028	25	mTEC-II
W341029	35	mTEC-II
W341035	17	mTEC-I
W341038	26	mTEC-II
W341041	9	mTEC-I
W341045	26	mTEC-II
W341052	4	cTEC
W341055	27	mTEC-II
W341057	26	mTEC-II
W341059	30	mTEC-II
W341064	2	mTEC-IV
W341073	6	mTEC-I
W341078	13	mTEC-I
W341083	26	mTEC-II
W341093	21	mTEC-I
W341094	30	mTEC-II
W341097	30	mTEC-II
W341102	26	mTEC-II
W341106	4	cTEC
W341111	30	mTEC-II
W341113	27	mTEC-II
W341120	2	mTEC-IV
W341126	13	mTEC-I
W341127	25	mTEC-II
W341129	23	mTEC-III
W341132	3	mTEC-IV
W341134	13	mTEC-I
W341147	27	mTEC-II
W341149	15	mTEC-I
W341159	6	mTEC-I
W341162	13	mTEC-I
W341163	27	mTEC-II
W341164	35	mTEC-II
W341165	36	mTEC-II
W341169	8	mTEC-I
W341171	15	mTEC-I
W341173	13	mTEC-I
W341174	13	mTEC-I
W341180	17	mTEC-I
W341188	27	mTEC-II
W341189	2	mTEC-IV
W341192	12	mTEC-I
W341193	3	mTEC-IV
W341196	13	mTEC-I
W341199	28	mTEC-II
W341200	14	mTEC-I
W340817	34	mTEC-II
W340818	25	mTEC-II
W340821	9	mTEC-I
W340823	27	mTEC-II
W340834	8	mTEC-I
W340837	25	mTEC-II
W340839	29	mTEC-II
W340841	13	mTEC-I
W340849	29	mTEC-II
W340850	9	mTEC-I
W340854	30	mTEC-II
W340855	32	mTEC-III
W340860	13	mTEC-I
W340866	27	mTEC-II
W340872	15	mTEC-I
W340873	16	mTEC-I
W340876	27	mTEC-II
W340894	19	mTEC-I
W340896	12	mTEC-I
W340898	21	mTEC-I
W340903	15	mTEC-I
W340904	15	mTEC-I
W340906	31	mTEC-II
W340908	21	mTEC-I
W340915	12	mTEC-I
W340916	2	mTEC-IV
W340917	35	mTEC-II
W340918	29	mTEC-II
W340932	31	mTEC-II
W340933	24	mTEC-III
W340940	8	mTEC-I
W340944	26	mTEC-II
W340948	31	mTEC-II
W340950	29	mTEC-II
W340952	33	mTEC-III
W340954	30	mTEC-II
W340955	12	mTEC-I
W340957	32	mTEC-III
W340962	30	mTEC-II
W340971	29	mTEC-II
W340972	15	mTEC-I
W340974	24	mTEC-III
W340981	35	mTEC-II
W340982	9	mTEC-I
W340988	3	mTEC-IV
W340992	28	mTEC-II
W340995	25	mTEC-II
W340996	25	mTEC-II
W340999	29	mTEC-II
W341002	13	mTEC-I
W340626	6	mTEC-I
W340631	13	mTEC-I
W340633	6	mTEC-I
W340635	18	mTEC-I
W340636	13	mTEC-I
W340646	27	mTEC-II
W340653	3	mTEC-IV
W340654	33	mTEC-III
W340657	3	mTEC-IV
W340658	10	mTEC-I
W340660	30	mTEC-II
W340664	9	mTEC-I
W340669	4	cTEC
W340670	13	mTEC-I
W340672	35	mTEC-II
W340677	19	mTEC-I
W340681	26	mTEC-II
W340684	10	mTEC-I
W340685	13	mTEC-I
W340689	11	mTEC-I
W340692	29	mTEC-II
W340698	27	mTEC-II
W340703	2	mTEC-IV
W340705	35	mTEC-II
W340707	25	mTEC-II
W340709	7	mTEC-I
W340716	21	mTEC-I
W340718	35	mTEC-II
W340738	35	mTEC-II
W340740	24	mTEC-III
W340745	24	mTEC-III
W340751	26	mTEC-II
W340753	7	mTEC-I
W340755	21	mTEC-I
W340764	27	mTEC-II
W340765	27	mTEC-II
W340771	13	mTEC-I
W340772	27	mTEC-II
W340775	27	mTEC-II
W340776	6	mTEC-I
W340778	35	mTEC-II
W340779	2	mTEC-IV
W340784	13	mTEC-I
W340786	7	mTEC-I
W340791	13	mTEC-I
W340794	30	mTEC-II
W340799	12	mTEC-I
W340803	18	mTEC-I
W340808	15	mTEC-I
W340810	15	mTEC-I
W340816	26	mTEC-II
W340244	25	mTEC-II
W340247	23	mTEC-III
W340253	13	mTEC-I
W340256	5	cTEC
W340259	12	mTEC-I
W340262	30	mTEC-II
W340263	13	mTEC-I
W340270	29	mTEC-II
W340272	25	mTEC-II
W340275	5	cTEC
W340278	27	mTEC-II
W340279	27	mTEC-II
W340283	25	mTEC-II
W340286	27	mTEC-II
W340299	30	mTEC-II
W340300	11	mTEC-I
W340302	13	mTEC-I
W340306	28	mTEC-II
W340312	30	mTEC-II
W340316	26	mTEC-II
W340322	29	mTEC-II
W340324	20	mTEC-I
W340331	21	mTEC-I
W340335	26	mTEC-II
W340336	13	mTEC-I
W340340	27	mTEC-II
W340342	13	mTEC-I
W340343	34	mTEC-II
W340346	27	mTEC-II
W340347	13	mTEC-I
W340348	13	mTEC-I
W340350	31	mTEC-II
W340351	13	mTEC-I
W340352	22	mTEC-III
W340355	13	mTEC-I
W340359	27	mTEC-II
W340361	35	mTEC-II
W340362	27	mTEC-II
W340363	22	mTEC-III
W340365	25	mTEC-II
W340366	30	mTEC-II
W340368	9	mTEC-I
W340370	13	mTEC-I
W340371	27	mTEC-II
W340377	35	mTEC-II
W340378	34	mTEC-II
W340380	27	mTEC-II
W340383	29	mTEC-II
W340384	26	mTEC-II
W340385	15	mTEC-I
W340390	13	mTEC-I
W340392	17	mTEC-I
W340399	25	mTEC-II
W340400	18	mTEC-I
W340402	23	mTEC-III
W340405	2	mTEC-IV
W340410	25	mTEC-II
W340413	9	mTEC-I
W340415	28	mTEC-II
W340416	13	mTEC-I
W340418	3	mTEC-IV
W340420	27	mTEC-II
W340424	30	mTEC-II
W340426	9	mTEC-I
W340427	21	mTEC-I
W340428	28	mTEC-II
W340429	26	mTEC-II
W340430	33	mTEC-III
W340050	7	mTEC-I
W340051	30	mTEC-II
W340052	26	mTEC-II
W340054	15	mTEC-I
W340059	26	mTEC-II
W340060	3	mTEC-IV
W340061	10	mTEC-I
W340063	29	mTEC-II
W340064	26	mTEC-II
W340067	17	mTEC-I
W340068	15	mTEC-I
W340070	28	mTEC-II
W340074	27	mTEC-II
W340078	21	mTEC-I
W340082	12	mTEC-I
W340083	30	mTEC-II
W340087	12	mTEC-I
W340088	31	mTEC-II
W340090	26	mTEC-II
W340098	13	mTEC-I
W340101	4	cTEC
W340104	12	mTEC-I
W340108	13	mTEC-I
W340109	13	mTEC-I
W340112	9	mTEC-I
W340113	6	mTEC-I
W340115	12	mTEC-I
W340118	28	mTEC-II
W340125	9	mTEC-I
W340128	3	mTEC-IV
W340129	1	mTEC-IV
W340131	33	mTEC-III
W340133	30	mTEC-II
W340136	19	mTEC-I
W340138	14	mTEC-I
W340139	11	mTEC-I
W340141	28	mTEC-II
W340146	13	mTEC-I
W340150	13	mTEC-I
W340153	30	mTEC-II
W340156	21	mTEC-I
W340161	5	cTEC
W340164	26	mTEC-II
W340171	13	mTEC-I
W340172	25	mTEC-II
W340173	13	mTEC-I
W340177	23	mTEC-III
W340182	19	mTEC-I
W340183	27	mTEC-II
W340186	29	mTEC-II
W340190	27	mTEC-II
W340192	13	mTEC-I
W340204	10	mTEC-I
W340213	1	mTEC-IV
W340214	32	mTEC-III
W340216	29	mTEC-II
W340219	17	mTEC-I
W340228	35	mTEC-II
W340229	25	mTEC-II
W340236	12	mTEC-I
W340238	9	mTEC-I
W339859	11	mTEC-I
W339860	14	mTEC-I
W339866	28	mTEC-II
W339870	30	mTEC-II
W339876	23	mTEC-III
W339882	35	mTEC-II
W339885	25	mTEC-II
W339891	35	mTEC-II
W339894	25	mTEC-II
W339895	15	mTEC-I
W339901	12	mTEC-I
W339903	7	mTEC-I
W339905	13	mTEC-I
W339909	27	mTEC-II
W339910	18	mTEC-I
W339914	17	mTEC-I
W339915	25	mTEC-II
W339916	26	mTEC-II
W339917	13	mTEC-I
W339918	29	mTEC-II
W339920	8	mTEC-I
W339924	17	mTEC-I
W339932	15	mTEC-I
W339935	27	mTEC-II
W339936	28	mTEC-II
W339940	30	mTEC-II
W339945	35	mTEC-II
W339959	30	mTEC-II
W339961	27	mTEC-II
W339978	13	mTEC-I
W339980	27	mTEC-II
W339985	30	mTEC-II
W339992	22	mTEC-III
W339993	27	mTEC-II
W339994	10	mTEC-I
W339997	6	mTEC-I
W339998	9	mTEC-I
W339999	32	mTEC-III
W340009	27	mTEC-II
W340010	31	mTEC-II
W340014	27	mTEC-II
W340019	27	mTEC-II
W340024	27	mTEC-II
W340026	13	mTEC-I
W340029	27	mTEC-II
W340031	9	mTEC-I
W340032	25	mTEC-II
W340035	30	mTEC-II
W340036	27	mTEC-II
W340037	13	mTEC-I
W340041	7	mTEC-I
W340045	25	mTEC-II
W339666	36	mTEC-II
W339668	7	mTEC-I
W339669	30	mTEC-II
W339670	4	cTEC
W339678	30	mTEC-II
W339685	30	mTEC-II
W339689	10	mTEC-I
W339690	25	mTEC-II
W339691	29	mTEC-II
W339696	30	mTEC-II
W339701	13	mTEC-I
W339703	7	mTEC-I
W339704	14	mTEC-I
W339706	30	mTEC-II
W339711	9	mTEC-I
W339712	8	mTEC-I
W339713	13	mTEC-I
W339714	27	mTEC-II
W339723	35	mTEC-II
W339724	9	mTEC-I
W339725	29	mTEC-II
W339728	30	mTEC-II
W339730	17	mTEC-I
W339731	31	mTEC-II
W339735	13	mTEC-I
W339737	3	mTEC-IV
W339738	35	mTEC-II
W339739	19	mTEC-I
W339741	7	mTEC-I
W339742	22	mTEC-III
W339743	35	mTEC-II
W339745	7	mTEC-I
W339746	15	mTEC-I
W339748	30	mTEC-II
W339749	7	mTEC-I
W339756	25	mTEC-II
W339758	14	mTEC-I
W339770	27	mTEC-II
W339772	27	mTEC-II
W339776	27	mTEC-II
W339778	29	mTEC-II
W339785	27	mTEC-II
W339797	15	mTEC-I
W339800	29	mTEC-II
W339801	19	mTEC-I
W339805	27	mTEC-II
W339811	13	mTEC-I
W339813	27	mTEC-II
W339814	5	cTEC
W339815	7	mTEC-I
W339825	26	mTEC-II
W339828	23	mTEC-III
W339837	25	mTEC-II
W339838	24	mTEC-III
W339840	13	mTEC-I
W339842	30	mTEC-II
W339848	9	mTEC-I
W314901	14	mTEC-I
W314903	2	mTEC-IV
W314906	6	mTEC-I
W314908	8	mTEC-I
W314910	21	mTEC-I
W314912	26	mTEC-II
W314913	31	mTEC-II
W314914	25	mTEC-II
W314916	1	mTEC-IV
W314920	7	mTEC-I
W314922	3	mTEC-IV
W314923	34	mTEC-II
W314924	30	mTEC-II
W314925	30	mTEC-II
W314926	23	mTEC-III
W314927	7	mTEC-I
W314928	18	mTEC-I
W314929	29	mTEC-II
W314930	1	mTEC-IV
W314931	33	mTEC-III
W314932	15	mTEC-I
W314934	25	mTEC-II
W314935	28	mTEC-II
W314937	23	mTEC-III
W314939	3	mTEC-IV
W314941	9	mTEC-I
W314942	23	mTEC-III
W314943	32	mTEC-III
W314944	21	mTEC-I
W314945	15	mTEC-I
W314946	36	mTEC-II
W314947	35	mTEC-II
W314949	24	mTEC-III
W314951	6	mTEC-I
W314952	8	mTEC-I
W314955	32	mTEC-III
W314957	1	mTEC-IV
W314958	5	cTEC
W314960	12	mTEC-I
W314961	31	mTEC-II
W314962	12	mTEC-I
W314963	8	mTEC-I
W314964	22	mTEC-III
W314965	32	mTEC-III
W314966	5	cTEC
W314968	29	mTEC-II
W314969	9	mTEC-I
W314971	35	mTEC-II
W314972	26	mTEC-II
W314974	18	mTEC-I
W314976	22	mTEC-III
W314977	1	mTEC-IV
W314984	23	mTEC-III
W314986	15	mTEC-I
W314990	15	mTEC-I
W314991	14	mTEC-I
W314998	3	mTEC-IV
W315001	7	mTEC-I
W315002	35	mTEC-II
W315003	23	mTEC-III
W315005	8	mTEC-I
W315007	35	mTEC-II
W315009	3	mTEC-IV
W315010	3	mTEC-IV
W315013	1	mTEC-IV
W315014	18	mTEC-I
W315016	2	mTEC-IV
W315017	29	mTEC-II
W315019	25	mTEC-II
W315020	7	mTEC-I
W315022	21	mTEC-I
W315024	28	mTEC-II
W315026	4	cTEC
W315027	34	mTEC-II
W315029	27	mTEC-II
W315033	23	mTEC-III
W315035	30	mTEC-II
W315037	23	mTEC-III
W315038	29	mTEC-II
W315040	15	mTEC-I
W315041	2	mTEC-IV
W315042	29	mTEC-II
W315044	8	mTEC-I
W315045	30	mTEC-II
W315047	23	mTEC-III
W315048	29	mTEC-II
W315050	35	mTEC-II
W315051	10	mTEC-I
W315052	35	mTEC-II
W315055	30	mTEC-II
W315056	3	mTEC-IV
W315059	17	mTEC-I
W315063	1	mTEC-IV
W315065	17	mTEC-I
W315070	5	cTEC
W315075	28	mTEC-II
W315076	25	mTEC-II
W315077	27	mTEC-II
W315082	24	mTEC-III
W315083	12	mTEC-I
W315084	9	mTEC-I
W315086	28	mTEC-II
W315087	35	mTEC-II
W315088	8	mTEC-I
W314715	6	mTEC-I
W314716	3	mTEC-IV
W314718	13	mTEC-I
W314723	8	mTEC-I
W314725	8	mTEC-I
W314731	3	mTEC-IV
W314733	36	mTEC-II
W314741	30	mTEC-II
W314745	10	mTEC-I
W314751	22	mTEC-III
W314754	9	mTEC-I
W314755	30	mTEC-II
W314757	12	mTEC-I
W314765	35	mTEC-II
W314770	18	mTEC-I
W314772	8	mTEC-I
W314774	22	mTEC-III
W314775	8	mTEC-I
W314778	21	mTEC-I
W314785	29	mTEC-II
W314788	7	mTEC-I
W314793	35	mTEC-II
W314796	8	mTEC-I
W314799	2	mTEC-IV
W314800	26	mTEC-II
W314803	24	mTEC-III
W314804	6	mTEC-I
W314805	9	mTEC-I
W314806	26	mTEC-II
W314809	15	mTEC-I
W314811	30	mTEC-II
W314812	8	mTEC-I
W314813	29	mTEC-II
W314816	29	mTEC-II
W314818	23	mTEC-III
W314821	35	mTEC-II
W314823	8	mTEC-I
W314825	33	mTEC-III
W314828	7	mTEC-I
W314830	8	mTEC-I
W314831	35	mTEC-II
W314832	8	mTEC-I
W314834	29	mTEC-II
W314835	25	mTEC-II
W314836	30	mTEC-II
W314841	29	mTEC-II
W314842	20	mTEC-I
W314843	29	mTEC-II
W314847	29	mTEC-II
W314848	6	mTEC-I
W314849	30	mTEC-II
W314850	2	mTEC-IV
W314851	8	mTEC-I
W314853	1	mTEC-IV
W314854	9	mTEC-I
W314855	23	mTEC-III
W314856	35	mTEC-II
W314860	22	mTEC-III
W314863	25	mTEC-II
W314864	8	mTEC-I
W314865	12	mTEC-I
W314867	2	mTEC-IV
W314868	32	mTEC-III
W314874	17	mTEC-I
W314875	20	mTEC-I
W314876	8	mTEC-I
W314879	14	mTEC-I
W314882	8	mTEC-I
W314883	9	mTEC-I
W314884	23	mTEC-III
W314885	2	mTEC-IV
W314886	14	mTEC-I
W314887	7	mTEC-I
W314893	17	mTEC-I
W314894	18	mTEC-I
W292242	30	mTEC-II
W292246	23	mTEC-III
W292250	16	mTEC-I
W292251	14	mTEC-I
W292255	9	mTEC-I
W292256	30	mTEC-II
W292258	3	mTEC-IV
W292259	6	mTEC-I
W292263	8	mTEC-I
W292266	20	mTEC-I
W292267	2	mTEC-IV
W292270	30	mTEC-II
W292271	21	mTEC-I
W292272	21	mTEC-I
W292277	35	mTEC-II
W292279	12	mTEC-I
W292282	8	mTEC-I
W292283	3	mTEC-IV
W292284	31	mTEC-II
W292286	5	cTEC
W292288	26	mTEC-II
W292290	20	mTEC-I
W292291	35	mTEC-II
W292292	2	mTEC-IV
W292295	35	mTEC-II
W292296	35	mTEC-II
W292299	29	mTEC-II
W292300	6	mTEC-I
W292302	7	mTEC-I
W292304	5	cTEC
W292306	15	mTEC-I
W292307	12	mTEC-I
W292308	12	mTEC-I
W292309	16	mTEC-I
W292310	35	mTEC-II
W292312	15	mTEC-I
W292314	21	mTEC-I
W292315	23	mTEC-III
W292317	23	mTEC-III
W292323	8	mTEC-I
W292324	7	mTEC-I
W292325	5	cTEC
W292328	9	mTEC-I
W292330	5	cTEC
W292338	9	mTEC-I
W292339	30	mTEC-II
W292342	29	mTEC-II
W292346	3	mTEC-IV
W292349	3	mTEC-IV
W292350	29	mTEC-II
W292351	7	mTEC-I
W292354	7	mTEC-I
W292355	21	mTEC-I
W292356	3	mTEC-IV
W292357	1	mTEC-IV
W292358	1	mTEC-IV
W292363	2	mTEC-IV
W292366	7	mTEC-I
W292367	14	mTEC-I
W292368	18	mTEC-I
W292371	4	cTEC
W292372	29	mTEC-II
W292374	21	mTEC-I
W292380	28	mTEC-II
W292381	18	mTEC-I
W292382	9	mTEC-I
W292388	20	mTEC-I
W292390	28	mTEC-II
W292391	5	cTEC
W292394	20	mTEC-I
W292396	14	mTEC-I
W292397	12	mTEC-I
W292398	10	mTEC-I
W292399	3	mTEC-IV
W292402	7	mTEC-I
W292403	26	mTEC-II
W292404	2	mTEC-IV
W292405	21	mTEC-I
W292411	3	mTEC-IV
W292412	35	mTEC-II
W292413	6	mTEC-I
W292414	7	mTEC-I
W292416	8	mTEC-I
W292417	27	mTEC-II
W292420	3	mTEC-IV
W292421	8	mTEC-I
W292423	19	mTEC-I
W292426	23	mTEC-III
W292427	20	mTEC-I
W292431	28	mTEC-II
W292432	31	mTEC-II
W291857	8	mTEC-I
W291858	15	mTEC-I
W291859	35	mTEC-II
W291860	13	mTEC-I
W291863	10	mTEC-I
W291866	3	mTEC-IV
W291868	21	mTEC-I
W291869	15	mTEC-I
W291870	32	mTEC-III
W291871	21	mTEC-I
W291872	30	mTEC-II
W291874	12	mTEC-I
W291879	12	mTEC-I
W291880	29	mTEC-II
W291881	26	mTEC-II
W291884	17	mTEC-I
W291886	21	mTEC-I
W291889	8	mTEC-I
W291890	17	mTEC-I
W291892	36	mTEC-II
W291894	3	mTEC-IV
W291895	19	mTEC-I
W291896	30	mTEC-II
W291897	29	mTEC-II
W291898	29	mTEC-II
W291899	29	mTEC-II
W291903	22	mTEC-III
W291905	30	mTEC-II
W291906	35	mTEC-II
W291907	30	mTEC-II
W291908	30	mTEC-II
W291909	9	mTEC-I
W291914	22	mTEC-III
W291916	1	mTEC-IV
W291918	33	mTEC-III
W291921	27	mTEC-II
W291922	35	mTEC-II
W291924	8	mTEC-I
W291927	35	mTEC-II
W291928	15	mTEC-I
W291930	35	mTEC-II
W291931	12	mTEC-I
W291933	35	mTEC-II
W291936	1	mTEC-IV
W291937	29	mTEC-II
W291939	8	mTEC-I
W291944	29	mTEC-II
W291946	29	mTEC-II
W291947	35	mTEC-II
W291948	8	mTEC-I
W291951	6	mTEC-I
W291956	35	mTEC-II
W291957	35	mTEC-II
W291961	24	mTEC-III
W291962	13	mTEC-I
W291963	19	mTEC-I
W291965	29	mTEC-II
W291967	22	mTEC-III
W291968	23	mTEC-III
W291969	30	mTEC-II
W291971	21	mTEC-I
W291979	12	mTEC-I
W291980	35	mTEC-II
W291985	3	mTEC-IV
W291987	22	mTEC-III
W291992	18	mTEC-I
W291995	21	mTEC-I
W291996	30	mTEC-II
W291999	10	mTEC-I
W292000	12	mTEC-I
W292001	3	mTEC-IV
W292002	30	mTEC-II
W292003	15	mTEC-I
W292004	9	mTEC-I
W292008	30	mTEC-II
W292010	32	mTEC-III
W292012	3	mTEC-IV
W292013	21	mTEC-I
W292014	30	mTEC-II
W292015	25	mTEC-II
W292021	20	mTEC-I
W292023	29	mTEC-II
W292025	35	mTEC-II
W292026	5	cTEC
W292027	23	mTEC-III
W292030	30	mTEC-II
W292031	34	mTEC-II
W292033	29	mTEC-II
W292038	25	mTEC-II
W292039	24	mTEC-III
W292043	35	mTEC-II
W291665	8	mTEC-I
W291666	8	mTEC-I
W291668	9	mTEC-I
W291670	32	mTEC-III
W291676	19	mTEC-I
W291677	7	mTEC-I
W291679	26	mTEC-II
W291680	12	mTEC-I
W291683	34	mTEC-II
W291685	6	mTEC-I
W291686	10	mTEC-I
W291687	12	mTEC-I
W291689	12	mTEC-I
