	clust	group
W140080	24	mTEC-III
W140082	31	mTEC-II
W140083	13	mTEC-I
W140087	20	mTEC-I
W140095	6	mTEC-I
W140097	34	mTEC-II
W140100	15	mTEC-I
W140103	15	mTEC-I
W140104	35	mTEC-II
W140107	23	mTEC-III
W140126	13	mTEC-I
W140130	6	mTEC-I
W140131	1	mTEC-IV
W140145	16	mTEC-I
W140155	15	mTEC-I
W140161	11	mTEC-I
W140165	27	mTEC-II
W140166	3	mTEC-IV
W140169	35	mTEC-II
W140175	1	mTEC-IV
W139811	31	mTEC-II
W139814	32	mTEC-III
W139821	3	mTEC-IV
W139829	15	mTEC-I
W139831	23	mTEC-III
W139836	34	mTEC-II
W139852	23	mTEC-III
W139861	2	mTEC-IV
W139862	30	mTEC-II
W139864	35	mTEC-II
W139865	20	mTEC-I
W139879	32	mTEC-III
W139881	2	mTEC-IV
W139887	36	mTEC-II
W139892	33	mTEC-III
W139898	5	cTEC
W139901	15	mTEC-I
W139909	3	mTEC-IV
W139912	26	mTEC-II
W139931	15	mTEC-I
W139936	18	mTEC-I
W139937	20	mTEC-I
W139945	25	mTEC-II
W139950	19	mTEC-I
W139956	18	mTEC-I
W139959	19	mTEC-I
W139962	33	mTEC-III
W139970	28	mTEC-II
W129622	17	mTEC-I
W129631	13	mTEC-I
W129633	13	mTEC-I
W129636	12	mTEC-I
W129638	23	mTEC-III
W129640	35	mTEC-II
W129646	3	mTEC-IV
W129648	29	mTEC-II
W129656	13	mTEC-I
W129659	19	mTEC-I
W129663	35	mTEC-II
W129664	13	mTEC-I
W129666	5	cTEC
W129699	2	mTEC-IV
W129700	13	mTEC-I
W129705	17	mTEC-I
W129723	16	mTEC-I
W129726	17	mTEC-I
W129729	4	cTEC
W129737	21	mTEC-I
W129740	27	mTEC-II
W129746	4	cTEC
W129748	5	cTEC
W129749	4	cTEC
W129750	22	mTEC-III
W129753	13	mTEC-I
W129755	13	mTEC-I
W129761	35	mTEC-II
W129764	5	cTEC
W129774	27	mTEC-II
W129783	17	mTEC-I
W129786	27	mTEC-II
W129792	35	mTEC-II
W129802	3	mTEC-IV
W129806	27	mTEC-II
W129429	19	mTEC-I
W129430	3	mTEC-IV
W129431	3	mTEC-IV
W129434	13	mTEC-I
W129438	1	mTEC-IV
W129440	27	mTEC-II
W129441	12	mTEC-I
W129443	4	cTEC
W129444	26	mTEC-II
W129445	13	mTEC-I
W129449	23	mTEC-III
W129455	27	mTEC-II
W129456	27	mTEC-II
W129459	6	mTEC-I
W129462	36	mTEC-II
W129468	25	mTEC-II
W129471	29	mTEC-II
W129472	6	mTEC-I
W129479	23	mTEC-III
W129484	13	mTEC-I
W129488	17	mTEC-I
W129491	31	mTEC-II
W129496	30	mTEC-II
W129500	35	mTEC-II
W129504	35	mTEC-II
W129508	29	mTEC-II
W129510	36	mTEC-II
W129516	9	mTEC-I
W129517	22	mTEC-III
W129524	27	mTEC-II
W129527	3	mTEC-IV
W129534	5	cTEC
W129543	2	mTEC-IV
W129549	27	mTEC-II
W129552	13	mTEC-I
W129554	13	mTEC-I
W129555	27	mTEC-II
W129557	31	mTEC-II
W129561	26	mTEC-II
W129564	9	mTEC-I
W129568	17	mTEC-I
W129570	3	mTEC-IV
W129579	13	mTEC-I
W129588	27	mTEC-II
W129589	12	mTEC-I
W129594	23	mTEC-III
W129601	13	mTEC-I
W129611	24	mTEC-III
W129616	29	mTEC-II
W129235	7	mTEC-I
W129246	6	mTEC-I
W129247	6	mTEC-I
W129249	15	mTEC-I
W129251	6	mTEC-I
W129255	6	mTEC-I
W129264	1	mTEC-IV
W129273	16	mTEC-I
W129288	19	mTEC-I
W129290	3	mTEC-IV
W129292	2	mTEC-IV
W129295	6	mTEC-I
W129302	17	mTEC-I
W129306	1	mTEC-IV
W129310	5	cTEC
W129324	15	mTEC-I
W129330	23	mTEC-III
W129335	6	mTEC-I
W129339	20	mTEC-I
W129341	26	mTEC-II
W129349	2	mTEC-IV
W129350	32	mTEC-III
W129352	23	mTEC-III
W129354	23	mTEC-III
W129356	13	mTEC-I
W129358	16	mTEC-I
W129360	33	mTEC-III
W129361	3	mTEC-IV
W129366	25	mTEC-II
W129367	25	mTEC-II
W129369	27	mTEC-II
W129372	13	mTEC-I
W129373	15	mTEC-I
W129389	29	mTEC-II
W129390	31	mTEC-II
W129391	25	mTEC-II
W129392	22	mTEC-III
