12	10	E	-7107116.832617255	200
emissionprobs	1	5	H3k4me2	0	0.9996848742350718
emissionprobs	1	5	H3k4me2	1	3.1512576492816804E-4
emissionprobs	1	6	H3k4me3	0	0.999009212131003
emissionprobs	1	6	H3k4me3	1	9.90787868996942E-4
emissionprobs	1	7	H3k79me2	0	0.9999228467047737
emissionprobs	1	7	H3k79me2	1	7.715329522631622E-5
emissionprobs	1	8	H3k9ac	0	0.9996935916660263
emissionprobs	1	8	H3k9ac	1	3.064083339736015E-4
emissionprobs	1	9	H3k9me1	0	0.9765688498373376
emissionprobs	1	9	H3k9me1	1	0.02343115016266229
emissionprobs	2	0	H2az	0	0.99951227818087
emissionprobs	2	0	H2az	1	4.877218191300423E-4
emissionprobs	2	1	H3k27ac	0	0.9993664815274292
emissionprobs	2	1	H3k27ac	1	6.335184725707614E-4
emissionprobs	2	2	H3k27me3	0	0.9989312623842078
emissionprobs	2	2	H3k27me3	1	0.0010687376157921865
emissionprobs	2	3	H3k36me3	0	0.9995462282932374
emissionprobs	2	3	H3k36me3	1	4.5377170676269666E-4
emissionprobs	2	4	H3k4me1	0	0.9996032144907749
emissionprobs	2	4	H3k4me1	1	3.9678550922506763E-4
emissionprobs	2	5	H3k4me2	0	0.999898420699262
emissionprobs	2	5	H3k4me2	1	1.0157930073797288E-4
emissionprobs	2	6	H3k4me3	0	0.999582901177961
emissionprobs	2	6	H3k4me3	1	4.170988220390183E-4
emissionprobs	2	7	H3k79me2	0	0.9999666379375284
emissionprobs	2	7	H3k79me2	1	3.336206247154454E-5
emissionprobs	2	8	H3k9ac	0	0.9999166358633768
emissionprobs	2	8	H3k9ac	1	8.336413662329698E-5
emissionprobs	2	9	H3k9me1	0	0.9945676376836293
emissionprobs	2	9	H3k9me1	1	0.005432362316370688
emissionprobs	3	0	H2az	0	0.9994716224506546
emissionprobs	3	0	H2az	1	5.283775493454615E-4
emissionprobs	3	1	H3k27ac	0	0.9974382021245772
emissionprobs	3	1	H3k27ac	1	0.0025617978754226864
emissionprobs	3	2	H3k27me3	0	0.9998133992278101
emissionprobs	3	2	H3k27me3	1	1.866007721898455E-4
emissionprobs	3	3	H3k36me3	0	0.9634126866933658
emissionprobs	3	3	H3k36me3	1	0.036587313306634256
emissionprobs	3	4	H3k4me1	0	0.996415994484461
emissionprobs	3	4	H3k4me1	1	0.0035840055155389244
emissionprobs	3	5	H3k4me2	0	0.9999662247949497
emissionprobs	3	5	H3k4me2	1	3.377520505034036E-5
emissionprobs	3	6	H3k4me3	0	0.9994326140968369
emissionprobs	3	6	H3k4me3	1	5.673859031631965E-4
emissionprobs	3	7	H3k79me2	0	0.9898563476280753
emissionprobs	3	7	H3k79me2	1	0.010143652371924593
emissionprobs	3	8	H3k9ac	0	0.9993783642313866
emissionprobs	3	8	H3k9ac	1	6.216357686134295E-4
emissionprobs	3	9	H3k9me1	0	0.9788759636953114
emissionprobs	3	9	H3k9me1	1	0.02112403630468859
emissionprobs	4	0	H2az	0	0.9997075943541942
emissionprobs	4	0	H2az	1	2.924056458056972E-4
emissionprobs	4	1	H3k27ac	0	0.9806854069216957
emissionprobs	4	1	H3k27ac	1	0.019314593078304364
emissionprobs	4	2	H3k27me3	0	0.9994602898928392
emissionprobs	4	2	H3k27me3	1	5.397101071608791E-4
emissionprobs	4	3	H3k36me3	0	0.6045763117454229
emissionprobs	4	3	H3k36me3	1	0.395423688254577
emissionprobs	4	4	H3k4me1	0	0.9920798425083603
emissionprobs	4	4	H3k4me1	1	0.007920157491639655
emissionprobs	4	5	H3k4me2	0	0.9992500131538703
emissionprobs	4	5	H3k4me2	1	7.499868461297409E-4
emissionprobs	4	6	H3k4me3	0	0.9987912859013685
emissionprobs	4	6	H3k4me3	1	0.0012087140986316474
emissionprobs	4	7	H3k79me2	0	0.9740113542102589
emissionprobs	4	7	H3k79me2	1	0.025988645789741166
emissionprobs	4	8	H3k9ac	0	0.9984285126580875
emissionprobs	4	8	H3k9ac	1	0.0015714873419124483
emissionprobs	4	9	H3k9me1	0	0.9394671291756429
emissionprobs	4	9	H3k9me1	1	0.060532870824357085
emissionprobs	5	0	H2az	0	0.9993482232116451
emissionprobs	5	0	H2az	1	6.517767883548816E-4
emissionprobs	5	1	H3k27ac	0	0.9932773491023873
emissionprobs	5	1	H3k27ac	1	0.006722650897612669
emissionprobs	5	2	H3k27me3	0	0.99968920177304
emissionprobs	5	2	H3k27me3	1	3.107982269601344E-4
emissionprobs	5	3	H3k36me3	0	0.8654590550305183
emissionprobs	5	3	H3k36me3	1	0.1345409449694817
emissionprobs	5	4	H3k4me1	0	0.9462512389605452
emissionprobs	5	4	H3k4me1	1	0.05374876103945484
emissionprobs	5	5	H3k4me2	0	0.9997015121083743
emissionprobs	5	5	H3k4me2	1	2.9848789162566165E-4
emissionprobs	5	6	H3k4me3	0	0.9984135568766278
emissionprobs	5	6	H3k4me3	1	0.0015864431233723081
emissionprobs	5	7	H3k79me2	0	0.32540189113886275
emissionprobs	5	7	H3k79me2	1	0.6745981088611372
emissionprobs	5	8	H3k9ac	0	0.997668907856739
emissionprobs	5	8	H3k9ac	1	0.0023310921432608592
emissionprobs	5	9	H3k9me1	0	0.952525571765126
emissionprobs	5	9	H3k9me1	1	0.047474428234874064
emissionprobs	6	0	H2az	0	0.970067389884432
emissionprobs	6	0	H2az	1	0.029932610115568012
emissionprobs	6	1	H3k27ac	0	0.7475031899953104
emissionprobs	6	1	H3k27ac	1	0.25249681000468954
emissionprobs	6	2	H3k27me3	0	0.9994120249234811
emissionprobs	6	2	H3k27me3	1	5.879750765188188E-4
emissionprobs	6	3	H3k36me3	0	0.704080539712134
emissionprobs	6	3	H3k36me3	1	0.29591946028786587
emissionprobs	6	4	H3k4me1	0	0.2783151533068602
emissionprobs	6	4	H3k4me1	1	0.7216848466931399
