State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12
1	0.9759531127021327	0.002252569338376043	0.0	3.574443560833438E-5	0.0	0.0	0.003314048226064002	9.930115221420277E-6	0.0167137688369551	0.0017208263456424638	0.0	0.0
2	0.0010718506121929977	0.9983137896057019	2.4134270704213498E-4	0.0	0.0	0.0	6.878112160044292E-5	0.0	6.407365876998281E-5	2.396600571295402E-4	0.0	5.02237563053382E-7
3	0.0	0.0014377697484845894	0.9571593091150534	0.01580763855348874	0.0063051629442132705	3.68617718323438E-4	0.017835241193978314	2.2741129599982622E-4	0.0	6.531798834143358E-4	1.0843293837736848E-4	9.723660866655855E-5
4	4.7953312041258965E-4	0.0	0.04961163571030799	0.9403834837651504	0.004369048459912757	0.0021287033809895147	0.0030248250590683284	0.0	0.0	2.770504158485785E-6	0.0	0.0
5	0.0	0.0	0.031477889130650395	0.0	0.9097870633280039	0.0568088240670336	2.6266507890081344E-6	0.0	1.4078623621569672E-5	2.28938775118921E-4	0.0	0.0016805794247827435
6	0.0	0.0	0.0035862177668595555	0.014897515301185247	0.16440487923031208	0.7200554382177925	0.02028191593374139	0.0022195636029126854	0.0	0.0013345177794957751	0.0	0.07321995216770079
7	0.0631034236627921	0.0030361943066554258	0.1170636544987287	0.005565467201555027	1.7847280725054313E-4	0.010461053145106486	0.730474898575488	0.061407916390635905	6.563261929550492E-4	0.005175287372148875	0.0017549126147474085	0.0011223932319364722
8	1.0827036513495599E-7	0.0	0.0034291924245651037	0.0	0.0	0.0032197090613023077	0.1485001152795771	0.6338523227479127	0.15397741399581533	0.0012801448074461507	0.055740993413016214	0.0
9	0.22307067487700377	0.0021219177005847157	0.0	9.327309921879058E-6	0.0	0.0	9.160987270175439E-4	0.04593478906456217	0.7043399780726455	0.019330530806560935	0.004276683441703655	0.0
10	0.11288001829011432	0.035087583138106115	0.015295754617729489	1.684915895844235E-4	0.0013740568004786107	0.002103204900149492	0.0189737078482748	4.577510610222852E-4	0.0946620184663216	0.5236692338546409	0.1662459590077906	0.02908222042578722
11	0.0	0.0	0.002142423727790404	0.0	0.0	7.73679609378553E-5	0.005729136376022609	0.07178365399682556	0.020680448842854117	0.14872660552540637	0.6798783172088972	0.07098204636126579
12	0.0	1.224706139699039E-4	0.00134160472114817	0.0	0.006379657833899591	0.0904947972475487	0.0016809930343278622	0.0	0.0	0.0187417532857644	0.053070327924341625	0.8281683953389997
